  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:56:41      1.92      2.11
21:56:42      1.58      1.57
21:56:43      2.17      2.36
21:56:44      2.03      2.14
21:56:45      2.03      2.22
21:56:46      2.64      2.47
21:56:47      1.91      2.21
21:56:48      1.74      1.99
21:56:49      1.80      1.68
21:56:50      1.88      2.09
21:56:51      1.67      1.72
21:56:52      1.95      2.13
21:56:53      1.56      1.79
21:56:54      1.74      1.59
21:56:55      1.72      2.04
21:56:56      2.19      2.27
21:56:57      1.35      1.70
21:56:58      1.77      1.98
21:56:59      1.67      1.91
21:57:00      1.79      2.01
21:57:01      2.05      2.28
21:57:02      1.74      1.98
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:57:03      1.90      2.22
21:57:04      1.96      2.30
21:57:05      1.47      1.71
21:57:06      2.10      1.94
21:57:07      1.66      2.05
21:57:08      2.09      2.30
21:57:09      1.55      1.73
21:57:10      1.43      1.83
21:57:11      1.73      1.97
21:57:12      2.53      2.35
21:57:13      1.45      1.89
21:57:14      1.76      1.82
21:57:15      1.68      1.68
21:57:16      1.81      1.86
21:57:17      1.83      2.02
21:57:18      1.99      1.93
21:57:19      1.58      1.98
21:57:20      1.72      1.89
21:57:21      1.88      2.18
21:57:22      1.78      2.14
21:57:23      1.53      1.66
21:57:24      1.77      2.06
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:57:25      1.90      2.20
21:57:26      1.85      1.80
21:57:27      1.99      2.08
21:57:28      1.86      2.13
21:57:29      1.42      1.74
21:57:30      1.81      2.00
21:57:31      1.96      2.32
21:57:32      1.95      2.26
21:57:33      1.84      2.10
21:57:34      1.70      1.99
21:57:35      1.85      2.04
21:57:36      2.19      2.04
21:57:37      1.32      1.55
21:57:38      1.60      1.93
21:57:39      1.15      1.59
21:57:40      1.74      2.05
21:57:41      2.52      2.19
21:57:42      1.73      2.04
21:57:43      2.01      2.41
21:57:44      2.07      1.83
21:57:45      1.71      1.77
21:57:46      1.99      1.98
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:57:47      2.23      2.22
21:57:48      1.97      2.31
21:57:49      1.87      2.27
21:57:50      1.94      2.17
21:57:51      1.67      1.86
21:57:52      1.67      1.95
21:57:53      1.96      2.26
21:57:54      1.64      1.59
21:57:55      1.62      1.72
21:57:56      2.03      2.17
21:57:57      1.54      1.88
21:57:58      1.94      2.15
21:57:59      1.68      2.04
21:58:00      2.01      2.00
21:58:01      1.44      1.75
21:58:02      1.60      1.58
21:58:03      1.67      2.04
21:58:04      1.52      1.68
21:58:05      1.69      2.05
21:58:06      1.91      2.21
21:58:07      1.12      1.50
21:58:08      2.02      2.22
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:58:09      1.44      1.73
21:58:10      2.07      1.78
21:58:11      1.99      2.30
21:58:12      2.09      2.12
21:58:13      2.24      2.21
21:58:14      1.91      2.14
21:58:15      1.90      2.20
21:58:16      2.14      1.81
21:58:17      1.92      2.22
21:58:18      1.63      1.96
21:58:19      1.75      1.78
21:58:20      1.87      1.73
21:58:21      1.73      2.18
21:58:22      1.83      1.99
21:58:23      1.80      2.19
21:58:24      2.04      1.91
21:58:25      1.52      1.91
21:58:26      1.91      2.03
21:58:27      1.78      2.07
21:58:28      2.10      2.20
21:58:29      1.66      2.04
21:58:30      1.74      1.98
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:58:31      1.80      2.09
21:58:32      1.32      1.63
21:58:33      1.75      2.00
21:58:34      1.39      1.61
21:58:35      1.83      2.27
21:58:36      1.96      2.06
21:58:37      1.50      1.86
