procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0  10528    151   4588    0    0     0     0  909  769 48  0 52  0  0 2025-09-16 21:50:31
 4  0      0  10528    151   4588    0    0     0    28  809  563 48  0 52  0  0 2025-09-16 21:50:32
 2  0      0  10528    151   4588    0    0     0     0  809  585 47  0 52  0  0 2025-09-16 21:50:33
 6  0      0  10528    151   4588    0    0     0     0  798  589 48  1 52  0  0 2025-09-16 21:50:34
 2  0      0  10528    151   4588    0    0     0     0  861  716 48  1 51  0  0 2025-09-16 21:50:35
 2  0      0  10527    151   4589    0    0     0     0  849  617 49  1 51  0  0 2025-09-16 21:50:36
 2  0      0  10527    151   4589    0    0     0    20  762  570 47  1 53  0  0 2025-09-16 21:50:37
 2  0      0  10527    151   4589    0    0     0     0  755  493 47  0 53  0  0 2025-09-16 21:50:38
 3  0      0  10527    151   4589    0    0     0     0  818  636 46  1 53  0  0 2025-09-16 21:50:39
 4  0      0  10526    151   4590    0    0     0     0  815  580 49  1 49  0  0 2025-09-16 21:50:40
 2  0      0  10526    151   4590    0    0     0     0  846  588 49  1 50  0  0 2025-09-16 21:50:41
 1  0      0  10526    151   4590    0    0     0    20  827  626 49  0 51  0  0 2025-09-16 21:50:42
 3  0      0  10526    151   4590    0    0     0     0  846  645 48  0 52  0  0 2025-09-16 21:50:43
 2  0      0  10526    151   4590    0    0     0     0  797  559 48  1 52  0  0 2025-09-16 21:50:44
 3  0      0  10526    151   4590    0    0     0     0  948  881 47  1 53  0  0 2025-09-16 21:50:45
 2  0      0  10525    151   4591    0    0     0     0  870  735 48  1 51  0  0 2025-09-16 21:50:46
 1  0      0  10525    151   4591    0    0     0    20  804  542 49  0 51  0  0 2025-09-16 21:50:47
 2  0      0  10525    151   4591    0    0     0     0  903  797 46  0 53  0  0 2025-09-16 21:50:48
 2  0      0  10525    151   4591    0    0     0     0  876  680 48  0 52  0  0 2025-09-16 21:50:49
 2  0      0  10525    151   4591    0    0     0     0  823  617 48  1 51  0  0 2025-09-16 21:50:50
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0  10525    151   4591    0    0     0     0  817  587 45  1 54  0  0 2025-09-16 21:50:51
 3  0      0  10525    151   4592    0    0     0    20  798  514 49  1 51  0  0 2025-09-16 21:50:52
 1  0      0  10525    151   4592    0    0     0     0  864  729 46  0 53  0  0 2025-09-16 21:50:53
 2  0      0  10525    151   4592    0    0     0     4  795  572 48  0 52  0  0 2025-09-16 21:50:54
 2  0      0  10524    151   4592    0    0     0     0  835  600 49  1 50  0  0 2025-09-16 21:50:55
 3  0      0  10523    151   4592    0    0     0     0  835  587 49  1 50  0  0 2025-09-16 21:50:56
 3  0      0  10523    151   4592    0    0     0    20  815  656 47  0 52  0  0 2025-09-16 21:50:57
 2  0      0  10523    151   4593    0    0     0     0  812  559 49  0 51  0  0 2025-09-16 21:50:58
 2  0      0  10523    151   4593    0    0     0  5908  831  661 49  0 51  0  0 2025-09-16 21:50:59
 3  0      0  10523    151   4593    0    0     0     0  850  627 48  1 51  0  0 2025-09-16 21:51:00
 3  0      0  10523    151   4593    0    0     0     0  880  683 48  1 52  0  0 2025-09-16 21:51:01
 2  0      0  10523    151   4593    0    0     0    36  745  481 48  0 52  0  0 2025-09-16 21:51:02
 3  0      0  10523    151   4594    0    0     0     0  846  636 47  1 52  0  0 2025-09-16 21:51:03
 4  0      0  10523    151   4594    0    0     0     8  800  557 48  0 52  0  0 2025-09-16 21:51:04
 3  0      0  10522    151   4594    0    0     0     0  837  672 48  1 51  0  0 2025-09-16 21:51:05
 2  0      0  10522    151   4594    0    0     0     0  837  681 49  0 51  0  0 2025-09-16 21:51:06
 2  0      0  10522    151   4594    0    0     0    28  850  658 47  0 53  0  0 2025-09-16 21:51:07
 2  0      0  10522    151   4595    0    0     0     0  841  608 48  1 51  0  0 2025-09-16 21:51:08
 3  0      0  10522    151   4595    0    0     0     0  798  476 50  0 50  0  0 2025-09-16 21:51:09
 3  0      0  10521    151   4595    0    0     0     0  867  685 48  1 51  0  0 2025-09-16 21:51:10
 4  0      0  10521    151   4595    0    0     0     0  823  601 48  1 51  0  0 2025-09-16 21:51:11
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0  10521    151   4595    0    0     0    20  799  560 48  1 51  0  0 2025-09-16 21:51:12
 3  0      0  10521    151   4595    0    0     0     0  876  913 47  1 52  0  0 2025-09-16 21:51:13
 1  0      0  10521    151   4595    0    0     0     0  782  641 49  0 51  0  0 2025-09-16 21:51:14
 4  0      0  10520    151   4596    0    0     0     0  889  707 49  1 51  0  0 2025-09-16 21:51:15
 2  0      0  10521    151   4596    0    0     0     0  792  630 47  1 53  0  0 2025-09-16 21:51:16
 2  0      0  10520    151   4596    0    0     0    20  828  821 46  1 53  0  0 2025-09-16 21:51:17
 4  0      0  10520    151   4596    0    0     0     0  802  596 46  1 54  0  0 2025-09-16 21:51:18
 2  0      0  10520    151   4596    0    0     0     0  771  518 50  0 51  0  0 2025-09-16 21:51:19
 3  0      0  10520    151   4597    0    0     0     0  886  729 48  1 51  0  0 2025-09-16 21:51:20
 2  0      0  10520    151   4597    0    0     0     0  909  803 48  1 52  0  0 2025-09-16 21:51:21
 4  0      0  10520    151   4597    0    0     0    20  854  718 46  0 53  0  0 2025-09-16 21:51:22
 4  0      0  10519    151   4597    0    0     0     0  845  588 49  0 50  0  0 2025-09-16 21:51:23
 3  0      0  10519    151   4597    0    0     0     0  818  668 48  0 52  0  0 2025-09-16 21:51:24
 2  0      0  10519    151   4598    0    0     0     8  883  674 49  1 50  0  0 2025-09-16 21:51:25
 4  0      0  10519    151   4598    0    0     0     0  856  882 48  1 51  0  0 2025-09-16 21:51:26
 3  0      0  10519    151   4598    0    0     0    28  822  644 47  0 53  0  0 2025-09-16 21:51:27
 2  0      0  10519    151   4598    0    0     0     0  773  498 50  0 50  0  0 2025-09-16 21:51:28
 6  0      0  10518    151   4598    0    0     0     0  833  659 48  0 52  0  0 2025-09-16 21:51:29
 2  0      0  10518    151   4598    0    0     0  5136  893  770 48  1 51  1  0 2025-09-16 21:51:30
 3  0      0  10518    151   4598    0    0     0     0  819  757 49  0 51  0  0 2025-09-16 21:51:31
 2  0      0  10518    151   4599    0    0     0    44  827  768 48  1 51  0  0 2025-09-16 21:51:32
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0  10518    151   4599    0    0     0     0  810  575 48  1 51  0  0 2025-09-16 21:51:33
 2  0      0  10518    151   4599    0    0     0     0  736  506 47  0 53  0  0 2025-09-16 21:51:34
 3  0      0  10517    151   4599    0    0     0    28  902  750 48  1 51  0  0 2025-09-16 21:51:35
 3  0      0  10517    151   4599    0    0     0     0  868  625 49  0 50  0  0 2025-09-16 21:51:36
 3  0      0  10517    151   4599    0    0     0    20  807  639 46  0 53  0  0 2025-09-16 21:51:37
 4  0      0  10517    151   4600    0    0     0     0  843  596 49  1 51  0  0 2025-09-16 21:51:38
 3  0      0  10517    151   4600    0    0     0     0  816  654 48  1 52  0  0 2025-09-16 21:51:39
 2  0      0  10517    151   4600    0    0     0     0  867  686 49  0 51  0  0 2025-09-16 21:51:40
 2  0      0  10516    151   4600    0    0     0     0  835  640 48  0 51  0  0 2025-09-16 21:51:41
 3  0      0  10516    151   4601    0    0     0    20  768  501 49  0 51  0  0 2025-09-16 21:51:42
 1  0      0  10516    151   4601    0    0     0     0  827  669 46  0 53  0  0 2025-09-16 21:51:43
 2  0      0  10515    151   4601    0    0     0     0  791  620 48  0 52  0  0 2025-09-16 21:51:44
 2  0      0  10515    151   4601    0    0     0     0  867  774 48  1 51  0  0 2025-09-16 21:51:45
 1  0      0  10515    151   4601    0    0     0     0  817  639 47  0 53  0  0 2025-09-16 21:51:46
 1  0      0  10515    151   4601    0    0     0    20  827  673 48  1 52  0  0 2025-09-16 21:51:47
 4  0      0  10515    151   4601    0    0     0     0  834  615 48  0 52  0  0 2025-09-16 21:51:48
 2  0      0  10514    151   4602    0    0     0     0  822  585 49  1 51  0  0 2025-09-16 21:51:49
 2  0      0  10514    151   4602    0    0     0     0  922  828 46  1 53  0  0 2025-09-16 21:51:50
 2  0      0  10514    151   4602    0    0     0     0  823  577 50  0 50  0  0 2025-09-16 21:51:51
 3  0      0  10514    151   4602    0    0     0    20  794  556 49  0 51  0  0 2025-09-16 21:51:52
 4  0      0  10514    151   4602    0    0     0     0  881  764 47  1 53  0  0 2025-09-16 21:51:53
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0  10514    151   4602    0    0     0     0  806  592 48  0 52  0  0 2025-09-16 21:51:54
 2  0      0  10513    151   4603    0    0     0     0  951  932 45  1 54  0  0 2025-09-16 21:51:55
