Linux 5.4.0-216-generic (cloud3gxie) 	09/22/25 	_x86_64_	(4 CPU)

22:56:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:58:08     all   25.63    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.12
22:58:09     all   24.87    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.87
22:58:10     all   25.13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.87
22:58:11     all   25.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   74.00
22:58:12     all   25.13    0.00    0.50    0.00    0.00    0.75    0.00    0.00    0.00   73.62
22:58:13     all   25.50    0.00    0.99    0.25    0.00    0.00    0.00    0.00    0.00   73.27
22:58:14     all   24.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.25
22:58:15     all   25.56    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   73.70
22:58:16     all   25.06    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.69
22:58:17     all   26.32    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   73.18
22:58:18     all   25.06    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.69
22:58:19     all   25.87    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   73.63
22:58:20     all   25.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.44
22:58:21     all   24.94    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.81
22:58:22     all   26.68    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   73.07
22:58:23     all   24.56    0.00    0.75    0.50    0.00    0.00    0.00    0.00    0.00   74.19
22:58:24     all   25.31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.69
22:58:25     all   25.56    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.19
22:58:26     all   24.81    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   74.69
22:58:27     all   25.06    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   74.19
22:58:28     all   24.81    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   74.43
22:58:29     all   24.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   74.75
22:58:30     all   25.88    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.12
22:58:31     all   25.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.75
22:58:32     all   25.19    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   73.80
22:58:33     all   25.25    0.00    0.75    0.25    0.00    0.00    0.00    0.00    0.00   73.75
22:58:34     all   25.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.25
22:58:35     all   25.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.44
22:58:36     all   24.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.51
22:58:37     all   25.81    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   73.43
22:58:38     all   25.19    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   74.31
22:58:39     all   25.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.56
22:58:40     all   25.19    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   74.31
22:58:41     all   25.12    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   74.38
22:58:42     all   26.01    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   73.74
22:58:43     all   25.31    0.00    0.50    0.25    0.00    0.00    0.00    0.00    0.00   73.93
22:58:44     all   24.75    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   75.00
22:58:45     all   25.69    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.06
22:58:46     all   26.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
22:58:47     all   25.38    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   74.12
22:58:48     all   25.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   74.00
22:58:49     all   25.19    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   74.06
22:58:50     all   25.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.50
22:58:51     all   24.75    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   74.50
22:58:52     all   26.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   73.00
